Date,SeasonTag,HomeTeam,AwayTeam,Opponent,IsHome,FTHG,FTAG,ChelseaGoals,OppGoals,FTR,Target,Points,FormPoints_5,GoalsFor_5,GoalsAgainst_5,GoalDiff_5,WinRate_5,B365H,B365D,B365A,Odds_Win,Odds_Draw,Odds_Loss,ImpP_Win,ImpP_Draw,ImpP_Loss,Overround,LogOdds_Win,LogOdds_Draw,LogOdds_Loss
2020-07-26,E0 (1),Chelsea,Wolves,Wolves,1,2,0,2,0,H,Win,3,9.0,10.0,10.0,0.0,0.6,1.85,3.8,4.0,1.85,3.8,4.0,0.5129935875801552,0.24974687816402294,0.2372595342558218,1.0536984352773826,0.6151856390902335,1.33500106673234,1.3862943611198906
2020-09-14,E0 (2),Brighton,Chelsea,Brighton,0,1,3,3,1,A,Win,3,9.0,9.0,10.0,-1.0,0.6,5.0,4.33,1.61,1.61,4.33,5.0,0.5903799428981247,0.21951771548867918,0.1901023416131962,1.0520648946394502,0.4762341789963717,1.4655675420143985,1.6094379124341003
2020-09-20,E0 (2),Chelsea,Liverpool,Liverpool,1,0,2,0,2,A,Loss,0,9.0,9.0,9.0,0.0,0.6,3.1,3.6,2.2,3.1,3.6,2.2,0.30579150579150577,0.2633204633204633,0.43088803088803085,1.0549038774845227,1.1314021114911006,1.2809338454620642,0.7884573603642703
2020-09-26,E0 (2),West Brom,Chelsea,West Brom,0,3,3,3,3,D,Draw,1,9.0,9.0,8.0,1.0,0.6,9.0,4.75,1.36,1.36,4.75,9.0,0.6956875508543532,0.19918633034987795,0.10512611879576893,1.0569315445476435,0.3074846997479607,1.55814461804655,2.1972245773362196
2020-10-03,E0 (2),Chelsea,Crystal Palace,Crystal Palace,1,4,0,4,0,H,Win,3,7.0,11.0,11.0,0.0,0.4,1.4,4.75,8.0,1.4,4.75,8.0,0.6803939122649956,0.20053715308863027,0.11906893464637423,1.0498120300751879,0.3364722366212129,1.55814461804655,2.0794415416798357
2020-10-17,E0 (2),Chelsea,Southampton,Southampton,1,3,3,3,3,D,Draw,1,10.0,12.0,6.0,6.0,0.6,1.45,4.75,6.5,1.45,4.75,6.5,0.6543046357615894,0.1997350993377483,0.14596026490066225,1.0540276420494208,0.371563556432483,1.55814461804655,1.8718021769015913
2020-10-24,E0 (2),Man United,Chelsea,Man United,0,0,0,0,0,D,Draw,1,8.0,13.0,9.0,4.0,0.4,2.37,3.6,2.8,2.8,3.6,2.37,0.33792775665399244,0.2628326996197719,0.3992395437262357,1.056861563190677,1.0296194171811581,1.2809338454620642,0.8628899551470398
2020-10-31,E0 (2),Burnley,Chelsea,Burnley,0,0,3,3,0,A,Win,3,6.0,10.0,8.0,2.0,0.2,6.0,4.5,1.5,1.5,4.5,6.0,0.631578947368421,0.21052631578947367,0.15789473684210525,1.0555555555555556,0.4054651081081644,1.5040773967762742,1.791759469228055
2020-11-07,E0 (2),Chelsea,Sheffield United,Sheffield United,1,4,1,4,1,H,Win,3,9.0,13.0,6.0,7.0,0.4,1.36,5.0,8.5,1.36,5.0,8.5,0.6983240223463686,0.18994413407821228,0.11173184357541899,1.0529411764705883,0.3074846997479607,1.6094379124341003,2.1400661634962708
2020-11-21,E0 (2),Newcastle,Chelsea,Newcastle,0,0,2,2,0,A,Win,3,11.0,14.0,4.0,10.0,0.6,6.5,4.75,1.45,1.45,4.75,6.5,0.6543046357615894,0.1997350993377483,0.14596026490066225,1.0540276420494208,0.371563556432483,1.55814461804655,1.8718021769015913
2020-11-29,E0 (2),Chelsea,Tottenham,Tottenham,1,0,0,0,0,D,Draw,1,11.0,12.0,4.0,8.0,0.6,2.05,3.5,3.6,2.05,3.5,3.6,0.46400294605045106,0.27177315411526415,0.2642238998342846,1.0512969415408442,0.7178397931503168,1.252762968495368,1.2809338454620642
